like1,parP0,parHs,parD,parr,parphi_soil_top,parphi_weathered_top,parphi_fresh,simulation_0,chain
2.061231,0.00014087291,0.55827725,0.0012426551,0.4051702,0.57698417,0.31209195,0.054060094,2.061231,0.0
1.626771,0.00018811168,0.20927145,0.00084820617,0.7033201,0.47545865,0.3468268,0.095309675,1.626771,0.0
1.5231355,0.00015869852,0.1631706,0.0009610701,0.5704768,0.5319703,0.25670016,0.09203549,1.5231355,0.0
1.2894014,0.00017233241,0.8036863,0.00060700974,0.5691282,0.51577413,0.27214962,0.097562276,1.2894014,0.0
2.8731616,5.344313e-05,0.9957665,0.00039690486,0.8366154,0.587389,0.4163293,0.074203305,2.8731616,0.0
3.5992637,3.6831443e-05,0.4343471,0.0010971004,0.8274164,0.56914884,0.38839376,0.057852905,3.5992637,0.0
2.5841587,3.1774845e-05,0.7888181,0.0006441705,0.82361937,0.5527228,0.37705848,0.08200966,2.5841587,0.0
1.6650845,0.00018378382,0.88776076,0.00011697626,0.416415,0.5716661,0.4024931,0.06152483,1.6650845,0.0
1.820341,0.00012070697,0.21946168,0.00010762115,0.48567218,0.5412579,0.2748645,0.071836054,1.820341,0.0
2.6251113,7.65662e-05,0.93507534,0.0001343264,0.59654605,0.59156626,0.36684403,0.050639696,2.6251113,0.0
2.3801265,8.6025226e-05,0.20756593,0.0004693549,0.70716995,0.45065686,0.43456623,0.069295935,2.3801265,0.0
2.4424188,7.853425e-05,0.4536198,0.00056285923,0.81474787,0.57666504,0.33502778,0.08620774,2.4424188,0.0
1.4032849,0.00018025665,0.2945755,0.0010152741,0.4349417,0.48201218,0.3887363,0.092582315,1.4032849,0.0
2.2448409,3.382895e-05,0.5588733,0.0019425739,0.6571375,0.50836545,0.37214208,0.069845065,2.2448409,0.0
2.1227555,0.00015689757,0.14512643,0.0016568521,0.39348808,0.5469988,0.3060402,0.052948967,2.1227555,0.0
