behavioral_id,line,rmse_s,normalized_rmse,P0,Hs,D,r,phi_soil_top,phi_weathered_top,phi_fresh
51,TL3,0.0043867891225790635,1.033976112070347,0.00011492825310383559,0.5662677501472053,0.0016609173625071836,0.40781167923691386,0.5149069811069915,0.28429964837472854,0.09589564841668344
52,TL3,0.004384684032586652,1.0334799376007995,9.655008030773043e-05,0.34789315801802045,0.0007862562190687522,0.5632783070924163,0.49280981862357887,0.3889780568930544,0.09883168329504234
53,TL3,0.004277924227568667,1.0083164102386757,0.00018468826591236048,0.6895924114515064,0.0010940329900269157,0.5627691794720335,0.5805141342622566,0.3704700877729104,0.09606414435156091
54,TL3,0.004414902239948434,1.0406024373810718,0.00014125388191132913,0.6657409058886099,0.0013507503507318532,0.5042024814280186,0.5324272643591901,0.3332509717122027,0.09807501964325771
55,TL3,0.004235376528914665,0.9982878214913005,0.0001538137227781039,0.4758241193870728,0.001378631138680551,0.5387861594290149,0.5538458687728298,0.31607330338608813,0.09662697226577634
56,TL3,0.004407442951726004,1.0388442662861035,0.00014697200008126436,0.5962384367275242,0.0015964547217822216,0.376621415772767,0.4783476329410805,0.27147325418807744,0.09594309949716932
57,TL3,0.004191033162860484,0.9878359898787841,0.00011374306450523625,0.6762987090787523,0.0010689392185435896,0.49180125469978997,0.563161488292834,0.2926831608193067,0.09418308182387457
58,TL3,0.004371136674699696,1.0302867947244572,0.00011529464151953134,0.4682681965593065,0.00027225137963477635,0.5771184649483109,0.5744038963467573,0.37869130727048045,0.09955763235688317
59,TL3,0.004338103166608655,1.022500722198605,7.257022857108986e-05,0.43403383751569946,0.0003005291698775668,0.4931153541500176,0.5351255033978422,0.31904681785822864,0.09712513003392698
60,TL3,0.0042125294903055405,0.9929027228477861,0.00014768368195667713,0.5659065790146252,0.0011930903595259214,0.44956317273427415,0.5240910128016097,0.2966795778505764,0.09233919746201952
61,TL3,0.004242550769994066,0.9999788063303378,0.00013990844018977287,0.41610121772570663,0.001068258753130795,0.5393855567606921,0.5469391149004017,0.30772224278895,0.09726853006787217
62,TL3,0.004227284103975251,0.9963804186409995,7.988287969525076e-05,0.711278460758916,0.000633779036905958,0.4926051782601424,0.5320636399705596,0.3161185581601029,0.09395845633490313
63,TL3,0.004221763833821054,0.9950792784876613,0.00010431921136202138,0.5783456615309815,0.0007318789915277237,0.5299425646363068,0.5486097125242418,0.3326588147161723,0.09493271761411184
64,TL3,0.00432188746039996,1.018678643591306,6.288928977869541e-05,0.3543577307015606,0.0016181204165015603,0.6059500710679713,0.5433488442485691,0.3851769132922903,0.09896516257730917
65,TL3,0.004273484659023543,1.0072699938974097,0.0001776335341123984,0.23119149016994445,0.0008263774261717859,0.5684849554417293,0.5630703266808048,0.3324739314787777,0.0979680200393928
66,TL3,0.004385616428972499,1.0336997055365285,0.00014152219344847652,0.672913169576422,0.0006108665772676682,0.5645770237245399,0.5231335634403338,0.3879732570234155,0.09800796089496008
67,TL3,0.004351004412489658,1.025541575014676,9.818346158793205e-05,0.6440452863020307,0.0008116565544126183,0.4485651366497826,0.539681844855632,0.3009666167172138,0.09531212790309013
68,TL3,0.004419638428056822,1.0417187676238775,0.00014676913999548996,0.5802930041179761,0.0010142857127201559,0.5025074231592996,0.5318551855764192,0.3349248420966128,0.09769853475993165
69,TL3,0.0042451053207929615,1.0005809197279327,0.0001167020235229079,0.34407806692386333,0.001467019021619653,0.5183586439672517,0.5567305171783907,0.295875332547214,0.09642102399544354
70,TL3,0.004266191680542235,1.0055510223843491,0.00015748135867043396,0.8918256354898676,0.0015177207965531778,0.5827559268075921,0.5184558673712019,0.3363645011783819,0.09734551310128928
71,TL3,0.004279985527439201,1.0088022632775138,0.00016226073927192933,0.6093301160433535,0.0013063955979018972,0.5992794623637314,0.5408501716704459,0.40098628396033975,0.09638974433936906
72,TL3,0.004305410713760288,1.0147950371643712,0.00010824027919253696,0.4816806758774512,0.0009973509195662011,0.43697682294029117,0.558187638107779,0.2981386386973387,0.09349442364511135
73,TL3,0.004404779132366109,1.038216398041691,0.00015231687275172858,0.6317382985351694,0.0015912065356756488,0.508403567039137,0.5196834285288363,0.3506607213696765,0.09631635405946651
74,TL3,0.004232541144342159,0.9976195149384701,0.00011859793351545929,0.5798859258222819,0.0012274802863867361,0.5429348698264612,0.5772929996345755,0.31705486234762514,0.09595164608845005
75,TL3,0.004212694720105253,0.992941667885063,0.00011067353920224633,0.6641395714375982,0.0010653529159319682,0.5385872912359403,0.5322015918191062,0.3348127546461702,0.09440073731741201
76,TL3,0.0042099186824928045,0.9922873495448661,0.00010835185724379843,0.5532952617781968,0.0013761608698120036,0.5132766313963789,0.5112080365005439,0.30923016337984705,0.0944589085475585
