behavioral_id,soil_exceeds_rd_depth_fraction,mean_H_soil_m,mean_H_weathered_m,mean_D_fresh_m,max_H_soil_m,max_H_weathered_m,max_D_fresh_m,mean_H_m_m,max_H_m_m,mean_H_w_m,max_H_w_m,mean_D_f_m,max_D_f_m,mean_h_weathered,max_h_weathered,mean_d_fresh,max_d_fresh,mean_z_s_relief,max_z_s_relief,mean_Zs_m,max_Zs_m,mean_z_b_relief,max_z_b_relief,mean_Zb_m,max_Zb_m,mean_D_fresh_raw_m,max_D_fresh_raw_m,mean_D_fresh_geometric_m,max_D_fresh_geometric_m,min_Vp_m_per_s_soil,mean_Vp_m_per_s_soil,max_Vp_m_per_s_soil,min_phi_soil,mean_phi_soil,max_phi_soil,min_Vp_m_per_s_weathered,mean_Vp_m_per_s_weathered,max_Vp_m_per_s_weathered,min_phi_weathered,mean_phi_weathered,max_phi_weathered,min_Vp_m_per_s_fresh,mean_Vp_m_per_s_fresh,max_Vp_m_per_s_fresh,min_phi_fresh,mean_phi_fresh,max_phi_fresh
43,0.10047785096215937,1.7491043648247622,8.118376545231786,9.867480910056548,2.9377857089443125,49.198737365062975,51.05566828090392,1.7491043648247622,2.9377857089443125,8.118376545231786,49.198737365062975,9.867480910056548,51.05566828090392,8.118376545231786,49.198737365062975,9.867480910056548,51.05566828090392,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.051684091541086,41.72464126617256,8.051684091541086,41.72464126617256,9.852310280103747,51.05566828090392,9.852310280103747,51.05566828090392,339.70668175212893,394.38776729804533,582.4601169180937,0.29067252054623804,0.49830498704201365,0.5825098133279902,594.1038376710252,1614.3420179475395,3177.678239576144,0.09779547238895936,0.19728584343430045,0.2906658902985952,3177.6816609773286,3177.6816609773273,3177.6816609773286,0.09779531667015307,0.0977953166701529,0.09779531667015307
44,0.1407723104739765,1.8021228867404318,5.661289309626835,7.463412196367266,3.4187229456964223,36.555961947844,38.45828001343453,1.8021228867404318,3.4187229456964223,5.661289309626835,36.555961947844,7.463412196367266,38.45828001343453,5.661289309626835,36.555961947844,7.463412196367266,38.45828001343453,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,10.482626278943,54.32202953364195,10.482626278943,54.32202953364195,7.421368092701836,38.45828001343453,7.421368092701836,38.45828001343453,350.17015663659026,396.15643926373934,515.2716981985052,0.396483222112433,0.49505423130290677,0.5417484929503613,488.4319619044925,1436.9078107779742,3196.2437480291055,0.09660178757189442,0.25172944399322444,0.39646893991582427,3196.2493920581837,3196.2493920581783,3196.2493920581837,0.0966015025220288,0.0966015025220289,0.0966015025220288
45,0.1239829523440527,1.8009688712948426,6.411566300890614,8.212535172185456,2.839447211781463,40.492469914490876,42.411819579750805,1.8009688712948426,2.839447211781463,6.411566300890614,40.492469914490876,8.212535172185456,42.411819579750805,6.411566300890614,40.492469914490876,8.212535172185456,42.411819579750805,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,9.719704162289725,50.36848996732568,9.719704162289725,50.36848996732568,8.184290209355112,42.411819579750805,8.184290209355112,42.411819579750805,354.8068381033527,401.1871585541392,538.9104818393406,0.352447487136043,0.4727427522343232,0.5239920112944705,518.8441906444598,1483.5341761033528,3159.160687398676,0.09899834364417381,0.23109269602721316,0.3524444733947052,3159.3102102802586,3159.310210280258,3159.3102102802586,0.09899095110290743,0.09899095110290727,0.09899095110290743
46,0.11158465710964742,1.7669529736283993,7.0753714051571,8.842324378785499,3.1398601307232163,43.83091271302359,45.70235379536393,1.7669529736283993,3.1398601307232163,7.0753714051571,43.83091271302359,8.842324378785499,45.70235379536393,7.0753714051571,43.83091271302359,8.842324378785499,45.70235379536393,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,9.084723460418392,47.07795575171255,9.084723460418392,47.07795575171255,8.819270911226445,45.70235379536393,8.819270911226445,45.70235379536393,351.1897518304577,404.8348651960414,571.2305831647158,0.30474777762172517,0.46788364050729464,0.5377373219689201,572.235802631997,1593.3027741106118,3220.1359615919578,0.09508511495970431,0.2034741103870659,0.30473878055966097,3220.232424380203,3220.2324243802004,3220.232424380203,0.09508069857514603,0.0950806985751461,0.09508069857514603
47,0.09518274570579878,1.7472034569152965,9.077454105381818,10.824657562297116,3.490759790540376,54.187303437328765,56.02258366619125,1.7472034569152965,3.490759790540376,9.077454105381818,54.187303437328765,10.824657562297116,56.02258366619125,9.077454105381818,54.187303437328765,10.824657562297116,56.02258366619125,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.093208898509974,36.75772588088523,7.093208898509974,36.75772588088523,10.81078547313486,56.02258366619125,10.81078547313486,56.02258366619125,353.1534126274373,414.0594691949068,598.3923238141557,0.27245532554395463,0.4502140833625214,0.5301844034056206,628.1909929336979,1669.9174043477497,3185.180692383994,0.0973109533895794,0.18674375467692877,0.2724350566511973,3185.203548905522,3185.20354890552,3185.203548905522,0.09730994672388876,0.09730994672388889,0.09730994672388876
48,0.10590210512721167,1.7315672260476214,7.716343934151096,9.447911160198716,3.5647596345473866,47.039287248108145,48.852986532786815,1.7315672260476214,3.5647596345473866,7.716343934151096,47.039287248108145,9.447911160198716,48.852986532786815,7.716343934151096,47.039287248108145,9.447911160198716,48.852986532786815,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.476739815253707,43.92732301428967,8.476739815253707,43.92732301428967,9.427254556391128,48.852986532786815,9.427254556391128,48.852986532786815,342.042132970451,398.9037901073834,566.7462761118129,0.3106808269115307,0.49149807978276144,0.5730115888053012,563.9742035357998,1597.217822337672,3241.1948416878436,0.09376507688585387,0.204785287306347,0.3106670139565262,3241.5283125154524,3241.528312515451,3241.5283125154524,0.09374980819041767,0.09374980819041773,0.09374980819041767
49,0.12811571742218777,1.7870416478220044,6.250492022679632,8.037533670501636,3.231584043382905,39.593959939023726,41.4856356453902,1.7870416478220044,3.231584043382905,6.250492022679632,39.593959939023726,8.037533670501636,41.4856356453902,6.250492022679632,39.593959939023726,8.037533670501636,41.4856356453902,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,9.898431653379697,51.29467390168629,9.898431653379697,51.29467390168629,8.005562718265137,41.4856356453902,8.005562718265137,41.4856356453902,356.9684035866476,405.8047041467154,543.0050257271189,0.34570372084602574,0.4633647271475203,0.5161137382547776,524.8615303793144,1513.8569977789573,3209.111089813372,0.09578086916676526,0.22515142604114258,0.34569139448244796,3209.250297547548,3209.25029754755,3209.250297547548,0.0957741664834148,0.09577416648341476,0.0957741664834148
50,0.1331525248611649,1.81074770274112,5.966289122403866,7.777036825144984,3.1050740634556036,38.19402425268351,40.11728873279241,1.81074770274112,3.1050740634556036,5.966289122403866,38.19402425268351,7.777036825144984,40.11728873279241,5.966289122403866,38.19402425268351,7.777036825144984,40.11728873279241,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,10.16248418285717,52.663020814284074,10.16248418285717,52.663020814284074,7.7415101887876645,40.11728873279241,7.7415101887876645,40.11728873279241,367.0553860652508,413.82294107833536,539.3698495448832,0.35167966477424084,0.44108139013510683,0.482211051718071,519.5668995939849,1497.5658814187962,3201.533407187801,0.09626355761051975,0.2289866033073253,0.3516633767896429,3201.589315462399,3201.5893154623936,3201.589315462399,0.09626084197367316,0.09626084197367323,0.09626084197367316
51,0.09699083042748288,1.7396207710550446,8.878808853146424,10.618429624201468,3.6973907335605527,53.126752525097956,54.943415710562554,1.7396207710550446,3.6973907335605527,8.878808853146424,53.126752525097956,10.618429624201468,54.943415710562554,8.878808853146424,53.126752525097956,10.618429624201468,54.943415710562554,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.301458009748735,37.83689383651393,7.301458009748735,37.83689383651393,10.602536361896101,54.943415710562554,10.602536361896101,54.943415710562554,357.3053382606296,417.0880304565199,587.8461726234317,0.284300992264812,0.4418531224486874,0.5149069811069915,605.2082975283662,1650.9948168235314,3207.3059732754555,0.09589691885191698,0.19184001080179475,0.2842979461360958,3207.3344320873575,3207.3344320873553,3207.3344320873575,0.09589564841668344,0.09589564841668334,0.09589564841668344
52,0.12734082397003746,1.746819052890636,6.102766090799618,7.849585143690255,3.0551751089099484,38.66833913310058,40.51917385388889,1.746819052890636,3.0551751089099484,6.102766090799618,38.66833913310058,7.849585143690255,40.51917385388889,6.102766090799618,38.66833913310058,7.849585143690255,40.51917385388889,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,10.084931639852252,52.2611356931876,10.084931639852252,52.2611356931876,7.819062731792583,40.51917385388889,7.819062731792583,40.51917385388889,363.759638513276,402.46772848878777,518.9431847827094,0.38898266135198395,0.4624805001218399,0.49280981862357887,492.71194763249446,1433.0532018928568,3161.726300794348,0.09883261459662596,0.24971699755410348,0.38897251516496606,3161.744566582281,3161.744566582278,3161.744566582281,0.09883168329504234,0.09883168329504242,0.09883168329504234
